,time,mnvel,errvel,tel
0,2457286.0069,-0.336565600766,1.53382527828,j
1,2457295.00433,0.25953450267,2.42548036575,j
2,2457326.91198,-6.67382555684,1.40304625034,j
3,2457355.85208,-4.33741113271,1.4657766819,j
4,2457384.75923,-1.9672939878,2.45037889481,j
5,2457401.71622,-6.60909500909,1.61459159851,j
6,2457401.7322,-5.56824430112,1.74668431282,j
7,2457556.11213,-8.35362931251,1.49469530582,j
8,2457580.0897,4.86621712747,1.45272243023,j
9,2457581.08462,5.39287876806,1.2892717123,j
10,2457582.0726,-2.36317530169,1.30758869648,j
11,2457583.09494,0.639869111055,1.47194755077,j
12,2457584.95463,-2.05998589926,1.42889559269,j
13,2457586.05612,-15.209516927,1.41507339478,j
14,2457587.04024,-10.4680992606,1.41586947441,j
15,2457588.06482,-11.6209535598,1.40139865875,j
16,2457596.00012,-4.58430916362,1.58426916599,j
17,2457612.90901,0.645426954698,1.55057322979,j
18,2457615.88911,-6.69111482244,1.53004431725,j
19,2457622.07724,-2.24159442006,1.5624345541,j
20,2457652.04204,-6.16743291652,1.4348423481,j
21,2457652.98656,-6.49339098948,1.55319154263,j
22,2457653.95684,-5.65294689167,1.58493328094,j
23,2457713.84841,-4.21379561093,1.49313890934,j
24,2457714.86346,-5.65529004459,1.97228562832,j
25,2457715.70533,-4.4098583371,1.57820880413,j
26,2457716.74192,-14.4139886756,1.56589245796,j
27,2457718.80939,-10.400412806,1.47263157368,j
28,2457908.09921,-0.325855988875,1.46182310581,j
29,2457909.06737,-6.8933012817,1.47079002857,j
30,2457910.07813,-0.864986365879,1.30236375332,j
31,2457912.06525,-1.75549277385,1.33379077911,j
32,2457913.09826,-7.49826850684,1.38955783844,j
33,2457924.04922,0.962313807444,1.41360843182,j
34,2457926.11584,9.37000861988,1.18739199638,j
35,2457933.04585,18.675228633,1.39721488953,j
36,2457934.0345,14.166461974,1.26038551331,j
37,2457935.01632,11.3278356324,1.33596205711,j
38,2457940.05983,3.5255041617,1.32561373711,j
39,2457941.03609,-1.33947436648,1.3860912323,j
40,2457943.06449,-2.71784612921,1.42475032806,j
41,2457944.07553,-2.24730128203,1.41472244263,j
