,time,mnvel,errvel,tel
0,2224.905104,-12.3166140355,1.65441012383,j
1,2226.04541,-19.7016751126,2.1739025116,j
2,2228.063262,0.200014206466,1.84661710262,j
3,2228.078459,-5.66370048019,1.70737230778,j
4,2228.094062,-0.175502745362,1.75581777096,j
5,2229.041645,12.3591950264,1.48161637783,j
6,2317.933414,0.992279140001,1.36403572559,j
7,2346.77824,-6.04950377914,1.44658136368,j
8,2366.770446,-11.6861064175,1.33820307255,j
9,2367.76754,-3.15050109429,1.25314414501,j
10,2367.785281,3.79272129519,1.50948524475,j
11,2368.783811,4.97311866356,1.2810292244,j
12,2368.798983,7.71974373787,1.62493884563,j
13,2369.821654,-0.459276702369,1.74874353409,j
14,2370.763569,-9.91815463264,1.34820079803,j
15,2370.784562,-12.1018988355,1.41462266445,j
16,2374.780957,-5.36573760369,1.71724867821,j
17,2376.77203,-14.8986709884,1.3647352457,j
18,2377.760102,-3.6259263791,1.28624975681,j
19,2380.766207,-6.9772160034,1.45499050617,j
20,2381.78075,-1.5629224316,2.18126130104,j
21,2382.759441,2.09791210342,1.77868795395,j
22,2383.76144,1.14901542645,1.63710391521,j
23,2384.757041,0.41687637935,1.58840811253,j
24,2396.748324,-10.7003649274,2.15852832794,j
25,2397.748277,-22.5887902583,2.11568284035,j
26,2521.148916,11.6569741166,1.8066034317,j
27,2522.154652,21.626919478,2.39926362038,j
28,2579.075107,-3.33715485208,1.60091102123,j
29,2580.041055,-1.00280161906,1.90546524525,j
30,2590.092785,3.64989871725,1.73908519745,j
