,time,mnvel,errvel,tel
0,2346.918605,4.17617135552,1.80107879639,j
1,2364.794461,-0.793898179479,1.59598577023,j
2,2366.862032,-0.36726675355,1.76455998421,j
3,2373.923418,-1.43029386374,1.94883561134,j
4,2375.895178,1.35710047032,1.71862101555,j
5,2378.844938,2.50346001607,1.59317028522,j
6,2380.943981,3.69453598172,2.00311207771,j
7,2395.868515,-0.726987771023,1.72258210182,j
8,2412.822754,0.511852789974,1.60099995136,j
9,2422.794464,-3.76607903092,1.77121722698,j
10,2432.78026,-1.18768543611,1.7084928751,j
11,2457.774116,-0.954141391635,1.98669469357,j
12,2465.738091,-9.92593230999,1.62695717812,j
