time mnvel errvel tel svalue
2450275.9700771 10.865898802 1.14224851131 k \nodata
2450603.0100679 4.65281011674 1.0277774334 k \nodata
2450666.8424493 4.53355615434 0.909896612167 k \nodata
2450956.1213024 -3.69711661903 1.0588517189 k \nodata
2450982.9989755 -7.49818000344 1.09279298782 k \nodata
2451009.9165601 -7.37694546495 1.33282220364 k \nodata
2451313.0063853 -4.57651579831 1.11202859879 k \nodata
2451368.8236700 0.400124197589 1.18301069736 k \nodata
2451439.7553886 1.12459668518 1.27643811703 k \nodata
2451679.0568667 4.23394591527 1.13519334793 k \nodata
2451703.9337898 10.7593616908 1.19465243816 k \nodata
2451754.8770892 6.0098048529 1.1203057766 k \nodata
2451795.7850976 7.77424577252 1.29832530022 k \nodata
2451984.1669770 2.44336483302 1.18215787411 k \nodata
2452094.8698626 -8.74755947534 1.49014925957 k \nodata
2452096.9048927 -4.92777797337 1.29743242264 k \nodata
2452127.8975663 -9.27047803986 1.3223875761 k \nodata
2452133.7454122 -9.20353845534 1.26575028896 k \nodata
2452160.8781437 -6.42861944 1.27606344223 k \nodata
2452390.0519631 -4.31048181379 1.41324985027 k \nodata
2452391.0899921 -3.94169535042 1.25827622414 k \nodata
2452446.0047272 -3.66227595881 1.36634552479 k \nodata
2452446.9435939 3.72330825291 1.26719391346 k \nodata
2452486.7962646 1.66400574719 1.23571681976 k \nodata
2452487.8730747 0.228554379428 1.28926873207 k \nodata
2452514.7705697 -4.8243375137 1.17058372498 k \nodata
2452515.8913039 -1.00071088214 1.18064057827 k \nodata
2452535.7375964 1.4775984127 1.33621287346 k \nodata
2452536.8290318 4.29043684842 1.23286771774 k \nodata
2452537.8287710 4.24020825641 1.22723031044 k \nodata
2452539.8331569 1.90157237733 1.23134493828 k \nodata
2452572.7283219 0.0508674829465 1.29601299763 k \nodata
2452573.8021521 -2.36397144936 1.19523394108 k \nodata
2452600.6905951 1.23568257331 1.20597815514 k \nodata
2452601.6951453 4.3238783507 1.1430375576 k \nodata
2452602.6840501 5.24456973858 1.17101895809 k \nodata
2452713.1253240 4.36285506773 1.20069468021 k \nodata
2452776.1135031 8.81065850847 1.29835689068 k \nodata
2452777.0926254 11.5045114581 1.2963603735 k \nodata
2452777.9618930 10.7241720301 1.41708421707 k \nodata
2452803.9921998 4.60195854136 1.35915005207 k \nodata
2452804.1161360 0.600602468896 1.15713751316 k \nodata
2452805.1036573 5.5807996952 1.27918052673 k \nodata
2452806.0375422 2.49210972654 1.25564682484 k \nodata
2452806.9540530 1.00390421808 1.46081447601 k \nodata
2452833.8026063 4.85424665624 1.33633434772 k \nodata
2452848.7780931 5.44027065499 1.20802402496 k \nodata
2452855.9671897 13.4928574617 1.30190634727 k \nodata
2452897.7750866 0.680865694607 1.30312597752 k \nodata
2453180.8526874 -5.74082705292 1.05713224411 k \nodata
2453181.9202304 -11.3911283624 1.2345187664 k \nodata
2453195.8257983 -2.55786920152 1.08488941193 k \nodata
2453238.7907667 0.0490433845214 1.06597709656 j 0.156000003219
2453301.7501703 -4.59636579048 0.995499908924 j 0.152999997139
2453430.1715265 -8.83668095893 0.953035831451 j 0.155000001192
2453430.1737256 -8.99130712798 0.959346592426 j 0.156000003219
2453430.1761098 -16.2503056752 0.901259422302 j 0.155000001192
2453546.8364836 -6.67877082477 0.864743947983 j 0.158000007272
2453546.8379076 -5.55727519719 0.865736305714 j 0.158000007272
2453546.8393656 -5.63260359103 0.927725195885 j 0.158000007272
2453548.0038403 -5.34931883482 0.828800022602 j 0.158000007272
2453548.0058773 -1.6504961371 0.880362033844 j 0.158000007272
2453548.0077173 -2.96238211559 0.798407554626 j 0.157000005245
2453548.9544377 -2.53632451162 0.846455216408 j 0.158000007272
2453548.9559307 -2.59812840306 0.863952457905 j 0.158000007272
2453548.9574127 -3.60343968202 0.836401462555 j 0.158000007272
2453549.8951613 -6.01049348264 0.951218008995 j 0.157000005245
2453549.8967353 -6.2292141094 0.934279322624 j 0.158000007272
2453549.8983213 -5.77104317588 0.874377608299 j 0.158000007272
2453550.8734186 -7.04878271726 0.837299883366 j 0.157000005245
2453550.8748306 -6.65826975045 0.87238740921 j 0.158000007272
2453550.8762316 -5.76009538177 0.897128403187 j 0.158000007272
2453551.8635038 -7.73455028837 0.899518549442 j 0.157000005245
2453551.8649848 -7.39791856442 0.899206459522 j 0.157000005245
2453551.8664548 -7.17330725911 0.886191666126 j 0.157000005245
2453570.8748695 -7.3784932437 0.839884459972 j 0.153999999166
2453570.8763384 -8.11435115525 0.840798318386 j 0.153999999166
2453570.8778664 -6.53211433595 0.863894999027 j 0.153999999166
2453602.7549584 -3.51933705572 0.957828104496 j 0.152999997139
2453602.7564853 -4.95056348491 0.890266299248 j 0.152999997139
2453602.7580132 -3.21494380963 0.930867671967 j 0.153999999166
2453696.6843575 -1.43565562967 1.01928663254 j 0.152999997139
2453696.6861405 -6.42236264898e-05 1.04637205601 j 0.152999997139
2453696.6879454 -1.28278003294 1.02033305168 j 0.153999999166
2453842.0168882 -0.606275206767 1.07768571377 j 0.152999997139
2453842.0181033 3.40079001898 0.991154909134 j 0.152999997139
2453842.0193073 -0.121808211245 0.95927965641 j 0.152999997139
2453932.7825872 3.46119931957 0.915834963322 j 0.155000001192
2453932.7840801 1.94048601604 0.906372129917 j 0.153999999166
2453982.8819938 7.46759907993 0.97953337431 j 0.151999995112
2453982.8834977 6.58668452987 0.908130645752 j 0.152999997139
2453982.8850376 5.33494345573 0.919735610485 j 0.152999997139
2454248.0402722 6.73653388976 1.03255474567 j 0.152999997139
2454249.9626261 -0.630153646887 1.09225511551 j 0.153999999166
2454250.9999210 15.2219890909 1.13676822186 j 0.152999997139
2454252.0527003 3.48442790919 0.961951553822 j 0.152999997139
2454252.0538003 4.06731295849 1.00977766514 j 0.153999999166
2454255.9439530 -1.46655019288 0.894543945789 j 0.152999997139
2454255.9449371 2.4472669763 0.963795721531 j 0.152999997139
2454277.8718034 5.98053435593 1.01485562325 j 0.152999997139
2454280.0106592 5.79442622775 1.02334630489 j 0.151999995112
2454294.8648420 2.04246638966 0.894817769527 j 0.151999995112
2454304.8405179 -1.3283098861 1.09009373188 j 0.153999999166
2454304.8417218 1.28775186627 1.10615134239 j 0.153999999166
2454305.9603314 0.261873315611 1.00010979176 j 0.155000001192
2454305.9616394 1.32315573385 1.02906191349 j 0.153999999166
2454306.9357167 4.36488295718 0.999281108379 j 0.155000001192
2454306.9369087 2.81810178606 0.985024929047 j 0.155000001192
2454307.9868625 2.91555597927 1.00460135937 j 0.155000001192
2454307.9881354 2.33019249323 1.08646583557 j 0.155000001192
2454308.9549652 6.79479170125 1.02478373051 j 0.155000001192
2454308.9567821 -1.53731910817 1.04937720299 j 0.156000003219
2454309.9510531 6.7415904324 0.922409534454 j 0.155000001192
2454309.9526730 7.503303846 1.03913486004 j 0.155000001192
2454310.9434712 4.55120309206 1.004809618 j 0.155000001192
2454310.9447092 1.12672128247 0.979757368565 j 0.155000001192
2454311.9367675 4.49692207604 0.963469386101 j 0.155000001192
2454311.9380864 3.10244222172 0.949298679829 j 0.155000001192
2454312.9380146 3.37725313371 0.981473982334 j 0.155000001192
2454312.9391945 5.66166648375 0.957411289215 j 0.153999999166
2454313.9351399 4.55215531087 1.04568183422 j 0.155000001192
2454313.9363439 3.85871894179 0.937240719795 j 0.155000001192
2454314.9755967 3.16289934547 0.971893012524 j 0.155000001192
2454314.9768577 4.61214556391 0.892936766148 j 0.155000001192
2454335.8873383 2.92586402601 0.980249106884 j 0.153999999166
2454335.8886802 2.30238058438 0.999014139175 j 0.153999999166
