,time,mnvel,errvel,tel
0,2412.118029,2.79866525807,1.89627254009,j
1,2414.115704,25.5362314317,1.81130599976,j
2,2421.096811,10.0143046682,1.68998467922,j
3,2422.116237,16.6953749253,1.7723993063,j
4,2423.114561,25.9648347768,1.77704691887,j
5,2452.972002,-8.25254523739,2.13409686089,j
6,2461.966501,-2.20851413742,1.83860826492,j
7,2464.004163,-1.675602601,1.73459911346,j
8,2465.996728,-18.5150591679,1.81428205967,j
9,2493.887569,-14.2886225853,1.79946029186,j
10,2520.832919,-13.1711062539,1.83519792557,j
11,2521.795982,-27.4091895696,1.82681190968,j
12,2522.81581,-31.6665600573,1.82404243946,j
13,2551.69969,21.8784773646,1.90077769756,j
14,2568.701268,-4.51398114282,2.08541297913,j
15,2578.706541,-3.3075850336,1.72649407387,j
16,2579.703813,9.31598417255,1.86345863342,j
17,2580.701618,-3.11917898783,2.13198852539,j
18,2581.703453,-14.4291516067,2.41066908836,j
