,time,mnvel,errvel,tel
0,2225.996346,-6.7112030522,2.66202449799,j
1,2228.108214,59.5211761096,8.23242378235,j
2,2229.058283,-11.8186956095,2.76440501213,j
3,2346.849965,-8.70198947321,2.05929756165,j
4,2366.79292,2.15486059987,2.01705622673,j
5,2367.829151,-6.71754197798,3.24833512306,j
6,2368.814357,-12.9824305941,2.14064478874,j
7,2370.809676,-16.4083111994,2.03495740891,j
8,2374.805352,8.95822313319,3.08226180077,j
9,2375.803685,5.16395197617,1.96976876259,j
10,2376.797458,-12.0594149496,1.98363006115,j
11,2377.781696,-26.1383729113,2.0562016964,j
12,2380.787799,8.40179740439,2.43465828896,j
13,2382.794564,14.2268020065,2.47256040573,j
14,2383.795563,6.51154354878,2.73991703987,j
15,2384.777433,-15.564249182,2.22566604614,j
16,2396.763375,-14.6294208519,3.63771533966,j
17,2397.76191,5.06107363824,3.27931833267,j
18,2521.131634,-16.5293735202,2.70891809464,j
19,2547.147573,15.8624734913,2.24827361107,j
20,2569.119539,-2.81069343686,2.19017553329,j
21,2579.059045,-10.4234153245,2.20121073723,j
22,2580.01992,-2.82660282299,2.4591345787,j
23,2590.075158,3.84584179569,2.19602751732,j
