,time,mnvel,errvel,tel
0,2364.810085,4.69781104143,1.49555122852,j
1,2367.885243,5.10777404337,1.38276708126,j
2,2373.877671,-5.36710017089,1.35189640522,j
3,2374.866951,-6.16864885926,1.44121038914,j
4,2375.879261,3.53808410489,1.31234121323,j
5,2377.87654,-7.81620664704,1.35759449005,j
6,2382.917236,2.08625525563,1.48678314686,j
7,2403.803228,3.74653821873,1.42278337479,j
8,2412.807728,3.59045510896,1.30857002735,j
9,2422.777134,-0.779710462453,1.45694708824,j
10,2429.773173,-7.03478234157,1.47547876835,j
11,2432.74243,-3.07044585315,1.31364393234,j
12,2457.740435,-9.8570590755,1.70672953129,j
13,2465.719374,-4.75175525588,1.82148361206,j
14,2580.158408,1.1895046169,1.5179861784,j
15,2581.159806,4.46508701607,1.58666181564,j
16,2607.11918,-2.1297339865,1.5759806633,j
