,time,mnvel,errvel,tel
0,2224.939213,0.666276420282,2.21293544769,j
1,2225.038212,-1.07931886337,1.63669526577,j
2,2225.059765,-2.77300735345,1.60845923424,j
3,2225.080854,-7.75281289407,1.60167622566,j
4,2225.925641,12.2976587391,1.79255771637,j
5,2225.950758,10.6396790892,2.28902125359,j
6,2225.972183,4.07720259036,2.2461206913,j
7,2226.085072,3.20802803287,1.9411585331,j
8,2226.1063,-0.383425651701,1.8933082819,j
9,2226.133906,-1.9362007523,1.89488172531,j
10,2228.995048,0.140460083969,1.73393201828,j
11,2229.009586,3.89889365478,1.72397053242,j
12,2229.023869,4.10591517148,1.57970035076,j
13,2229.096848,-4.33192042659,1.5391587019,j
14,2229.113342,2.20413598111,1.63351202011,j
15,2229.130982,3.73473941287,1.69482111931,j
16,2317.951442,-9.36905502614,1.89242684841,j
17,2317.965874,-8.02639792203,1.97876632214,j
18,2346.79623,-8.60362910268,1.54108762741,j
19,2346.810639,-7.88976985469,1.52592349052,j
20,2346.825035,-10.9173250357,1.73958349228,j
21,2367.801461,-1.4820601902,1.7269667387,j
22,2367.815766,-2.26294062987,1.87248516083,j
23,2368.83038,-4.12113515868,2.05102300644,j
24,2375.770551,-7.46109485502,1.75049674511,j
25,2377.799278,-4.30844937605,2.02754878998,j
26,2380.810246,6.84097877619,1.89380836487,j
27,2383.777971,-7.64626614678,2.10062408447,j
28,2520.101517,3.09582882588,1.52074623108,j
29,2520.120558,-0.346612452741,1.54064083099,j
30,2520.139252,-0.847991681153,1.58947169781,j
31,2521.104529,-0.155274845339,1.77170956135,j
32,2522.100539,1.0014955016,1.43576002121,j
33,2522.121617,-1.65357640737,1.38254654408,j
34,2522.141133,-1.8596393115,1.44737803936,j
35,2523.141692,-2.60416345515,1.38079202175,j
36,2546.161936,-4.79350075173,2.24068951607,j
37,2547.126673,-6.33094992844,1.34303128719,j
38,2569.098823,2.3810548999,1.45302534103,j
39,2579.019711,-6.26797902242,1.53734612465,j
40,2579.970432,-4.63641275581,1.6865452528,j
41,2607.00883,-1.68200000167,1.61839103699,j
