,time,mnvel,errvel,tel
0,2224.736882,3.56839210964,2.30276608467,j
1,2224.749254,0.0430271414808,2.1839966774,j
2,2224.761718,-1.892687582,2.20122051239,j
3,2225.779981,0.603665280917,2.2671546936,j
4,2225.79307,-0.742618061928,2.21912670135,j
5,2225.844768,1.86567773543,2.10537838936,j
6,2227.758104,2.68814233493,2.22827577591,j
7,2227.776714,-1.28666588663,2.32223916054,j
8,2227.843561,8.5106078784,2.24279952049,j
9,2227.935174,-4.60106424583,2.30170106888,j
10,2227.94897,-1.4843269177,2.18755269051,j
11,2227.964593,15.0131685806,2.08054018021,j
12,2228.75045,2.75577824445,2.13192152977,j
13,2228.762857,-2.37675883155,2.03826260567,j
14,2228.77539,-2.80668239029,2.24216771126,j
15,2228.907441,-6.35549175599,2.18140745163,j
16,2228.920033,-5.52364442521,2.33558249474,j
17,2228.933203,-9.46675257142,2.22461247444,j
